"e","f","sp"
0.745632120152012,1.68747075712208,"sp1"
1.54873311977735,2.38479909230717,"sp1"
-0.0156479020046849,-0.823457410252714,"sp1"
-0.42353137046365,0.63064896405596,"sp1"
-0.337070573844956,-1.15585467359682,"sp1"
-1.48389237529247,-0.478416994816171,"sp1"
-0.151963098280137,0.316371536566707,"sp1"
0.170517876613861,0.116488271593889,"sp1"
-0.202811344344446,-1.62033471252048,"sp1"
-1.17644671094772,-0.297717297528236,"sp1"
-0.131602330704154,-0.647528780503986,"sp2"
0.472392988235648,0.182298794731537,"sp2"
-0.848671879865351,-1.13251439536669,"sp2"
1.33694882453981,1.43211097225598,"sp2"
-0.451945279129942,-0.398515333457495,"sp2"
0.664026639839044,0.0653653690663447,"sp2"
1.24994434977931,0.549596380057234,"sp2"
1.39479778980923,0.722870269533627,"sp2"
-0.619934372829059,-1.35047440599464,"sp2"
-0.0701856339967694,1.32164374153162,"sp2"
-1.70898734676564,-0.120817131699369,"sp3"
-0.388466104663277,-0.449070586094134,"sp3"
-0.861734498013534,0.465390276165148,"sp3"
-0.0630970987240921,-0.371805985988131,"sp3"
-0.283734498246662,0.590557851695961,"sp3"
-0.975515910358638,-1.25545010980402,"sp3"
-1.10269791454512,-2.25109072043985,"sp3"
1.01743561850508,0.474147287687643,"sp3"
-2.20241097922382,-1.61112217632195,"sp3"
1.72400892792139,2.93684602484689,"sp3"
0.687340717407651,0.518690854426722,"sp4"
-0.682433642849719,-0.251579960214435,"sp4"
-1.07718676963537,-2.70208288907538,"sp4"
-1.12490997003089,-0.391468236029199,"sp4"
0.593279038252339,-1.24649693740152,"sp4"
-0.60784203503003,-0.628699499324008,"sp4"
-0.774899849337721,-3.42962407330142,"sp4"
0.19383331533477,0.497235916713648,"sp4"
0.362437592128981,-1.87031481130186,"sp4"
-0.600750011779177,-1.79080130389185,"sp4"
0.567501182175593,0.811603314587677,"sp5"
-0.318928263296461,-0.780245378625939,"sp5"
-0.319227611560081,0.413137891492946,"sp5"
0.275524197423101,0.0617781341894762,"sp5"
-0.457095442305622,0.933912129867798,"sp5"
-0.840945568041482,-0.826506590877845,"sp5"
-1.50331021776423,-2.95376880343578,"sp5"
0.525496296700454,-0.874655746656898,"sp5"
0.718958960347489,2.31477878214211,"sp5"
-0.246740355299025,-3.00903610688802,"sp5"
-0.686132517144702,-0.387445825929613,"sp6"
-0.817103505694086,-0.791957681178957,"sp6"
0.910738552550668,1.04518968085702,"sp6"
-0.132676235682956,-0.187411462878149,"sp6"
-1.01000456946251,-1.85008064812864,"sp6"
0.87778669155721,1.16650750675674,"sp6"
-1.94929746677336,-0.609934168935,"sp6"
-1.20857187277954,-0.350080108053034,"sp6"
-0.617253770558859,0.0680036389220978,"sp6"
-0.721166858144643,-0.326961648209018,"sp6"
0.00271474791493641,-0.461459580663981,"sp7"
-0.263577550751315,-0.201504790548572,"sp7"
-1.41143792958063,-1.86238012550705,"sp7"
-0.336427540339224,-1.77309593596517,"sp7"
0.836789409850743,-0.654819345601786,"sp7"
0.402210793490348,0.66278794715327,"sp7"
1.07117146674721,-0.912880165229294,"sp7"
0.79321878029898,-0.0797706569676315,"sp7"
-0.141867478883599,-0.829093426717897,"sp7"
0.0974820327764024,1.92854967431628,"sp7"
1.01707510289755,-1.29005543247856,"sp8"
-2.68450797942997,-3.07177286662006,"sp8"
